title,address,tell,date,type
"<em id=""comment_writer"">파틱스</em>","<p class=""adress"">경상남도 김해시 인제로 197 인제대학교</p>","<p class=""tell""><a class=""blocked"" href=""tel:010-7928-7759 / 010-4948-3512"">010-7928-7759 / 010-4948-3512<span class=""sr-only"">phone number</span></a></p>","<em class=""comment_wtime"" data-original-title=""2023-03-02 20:42:11"" data-placement=""auto"" data-toggle=""tooltip"" title="""">2023-03-02</em>",작업공간
"<em id=""comment_writer"">국립청소년미래환경센터</em>","<p class=""adress"">경상북도 봉화군 춘양면 춘양로 1466</p>","<p class=""tell""><a class=""blocked"" href=""tel:054-679-3000"">054-679-3000<span class=""sr-only"">phone number</span></a></p>","<em class=""comment_wtime"" data-original-title=""2022-12-16 15:19:04"" data-placement=""auto"" data-toggle=""tooltip"" title="""">2022-12-16</em>",작업공간
"<em id=""comment_writer"">원점</em>","<p class=""adress"">서울특별시 성동구 아차산로7길 42</p>","<p class=""tell""><a class=""blocked"" href=""tel:0507-1422-4947"">0507-1422-4947<span class=""sr-only"">phone number</span></a></p>","<em class=""comment_wtime"" data-original-title=""2022-01-19 16:02:48"" data-placement=""auto"" data-toggle=""tooltip"" title="""">2022-01-19</em>",작업공간
"<em id=""comment_writer"">두더지방앗간</em>","<p class=""adress"">충청남도 천안시 동남구 광덕면 안심대길 50 </p>","<p class=""tell""><a class=""blocked"" href=""tel:041-572-2535"">041-572-2535<span class=""sr-only"">phone number</span></a></p>","<em class=""comment_wtime"" data-original-title=""2021-11-09 13:37:03"" data-placement=""auto"" data-toggle=""tooltip"" title="""">2021-11-09</em>",작업공간
"<em id=""comment_writer"">Ucyclefor Project</em>","<p class=""adress"">부산광역시 해운대구</p>","<p class=""tell""><a class=""blocked"" href=""tel:01077949694"">01077949694<span class=""sr-only"">phone number</span></a></p>","<em class=""comment_wtime"" data-original-title=""2021-11-01 12:39:33"" data-placement=""auto"" data-toggle=""tooltip"" title="""">2021-11-01</em>",작업공간
"<em id=""comment_writer"">도담스튜디오</em>","<p class=""adress"">제주특별자치도 제주시 중앙로 217 제주벤처마루</p>","<p class=""tell""><a class=""blocked"" href=""tel:010 - 5518 - 8730"">010 - 5518 - 8730<span class=""sr-only"">phone number</span></a></p>","<em class=""comment_wtime"" data-original-title=""2021-07-22 11:10:47"" data-placement=""auto"" data-toggle=""tooltip"" title="""">2021-07-22</em>",작업공간
"<em id=""comment_writer"">포항나눔지역자활센터(지구공방)</em>","<p class=""adress"">경상북도 포항시 남구 정몽주로861번길 9-5</p>","<p class=""tell""><a class=""blocked"" href=""tel:054)252-4471 / 054)282-5445"">054)252-4471 / 054)282-5445<span class=""sr-only"">phone number</span></a></p>","<em class=""comment_wtime"" data-original-title=""2021-05-07 16:35:57"" data-placement=""auto"" data-toggle=""tooltip"" title="""">2021-05-07</em>",작업공간
"<em id=""comment_writer"">플라스틱 베이커리</em>","<p class=""adress"">서울시 중구 을지로 157</p>","<p class=""tell""><a class=""blocked"" href=""tel:010-3494-1510"">010-3494-1510<span class=""sr-only"">phone number</span></a></p>","<em class=""comment_wtime"" data-original-title=""2021-04-14 15:12:27"" data-placement=""auto"" data-toggle=""tooltip"" title="""">2021-04-14</em>",작업공간
"<em id=""comment_writer"">would you love</em>","<p class=""adress"">서울특별시 은평구 가좌로 172 예은교회</p>","<p class=""tell""><a class=""blocked"" href=""tel:010-2878-0242"">010-2878-0242<span class=""sr-only"">phone number</span></a></p>","<em class=""comment_wtime"" data-original-title=""2021-04-05 17:56:32"" data-placement=""auto"" data-toggle=""tooltip"" title="""">2021-04-05</em>",작업공간
"<em id=""comment_writer"">no plastic sunday</em>","<p class=""adress"">서울특별시 성동구 성수이로26길 47</p>","<p class=""tell""><a class=""blocked"" href=""tel:""><span class=""sr-only"">phone number</span></a></p>","<em class=""comment_wtime"" data-original-title=""2021-03-29 18:59:23"" data-placement=""auto"" data-toggle=""tooltip"" title="""">2021-03-29</em>",작업공간
"<em id=""comment_writer"">제4의공간</em>","<p class=""adress"">서울특별시 영등포구 도림로143길 11-19</p>","<p class=""tell""><a class=""blocked"" href=""tel:contact@4thplace.io"">contact@4thplace.io<span class=""sr-only"">phone number</span></a></p>","<em class=""comment_wtime"" data-original-title=""2021-03-18 13:23:17"" data-placement=""auto"" data-toggle=""tooltip"" title="""">2021-03-18</em>",작업공간
"<em id=""comment_writer"">재작소</em>","<p class=""adress"">대전광역시 대덕구 오정동 133-16</p>","<p class=""tell""><a class=""blocked"" href=""tel:jaejagso@gmail.com"">jaejagso@gmail.com<span class=""sr-only"">phone number</span></a></p>","<em class=""comment_wtime"" data-original-title=""2021-03-04 02:06:16"" data-placement=""auto"" data-toggle=""tooltip"" title="""">2021-03-04</em>",작업공간
"<em id=""comment_writer"">로우리트 콜렉티브</em>","<p class=""adress"">서울특별시 금천구 두산로 5-1</p>","<p class=""tell""><a class=""blocked"" href=""tel:contact@lowlit.co"">contact@lowlit.co<span class=""sr-only"">phone number</span></a></p>","<em class=""comment_wtime"" data-original-title=""2021-03-03 15:57:29"" data-placement=""auto"" data-toggle=""tooltip"" title="""">2021-03-03</em>",작업공간
"<em id=""comment_writer"">터치포굿</em>","<p class=""adress"">서울특별시 종로구 동망산길 28</p>","<p class=""tell""><a class=""blocked"" href=""tel:02-6349-9006"">02-6349-9006<span class=""sr-only"">phone number</span></a></p>","<em class=""comment_wtime"" data-original-title=""2021-03-02 11:03:24"" data-placement=""auto"" data-toggle=""tooltip"" title="""">2021-03-02</em>",작업공간
"<em id=""comment_writer"">아이디어창작소도깨비</em>","<p class=""adress"">경기도 화성시</p>","<p class=""tell""><a class=""blocked"" href=""tel:01045911521"">01045911521<span class=""sr-only"">phone number</span></a></p>","<em class=""comment_wtime"" data-original-title=""2021-02-28 13:29:01"" data-placement=""auto"" data-toggle=""tooltip"" title="""">2021-02-28</em>",작업공간
"<em id=""comment_writer"">몽토브</em>","<p class=""adress"">서울특별시 영등포구 신풍로12나길 22</p>","<p class=""tell""><a class=""blocked"" href=""tel:jiwonc@montove.com"">jiwonc@montove.com<span class=""sr-only"">phone number</span></a></p>","<em class=""comment_wtime"" data-original-title=""2021-02-27 12:44:46"" data-placement=""auto"" data-toggle=""tooltip"" title="""">2021-02-27</em>",작업공간
"<em id=""comment_writer"">라디오비</em>","<p class=""adress"">경기도 화성시 영천동</p>","<p class=""tell""><a class=""blocked"" href=""tel:070-4154-5221"">070-4154-5221<span class=""sr-only"">phone number</span></a></p>","<em class=""comment_wtime"" data-original-title=""2021-02-26 18:13:27"" data-placement=""auto"" data-toggle=""tooltip"" title="""">2021-02-26</em>",작업공간
"<em id=""comment_writer"">clubkeepus</em>","<p class=""adress"">충청남도 보령시 신평중앙길 37</p>","<p class=""tell""><a class=""blocked"" href=""tel:010-2456-5796"">010-2456-5796<span class=""sr-only"">phone number</span></a></p>","<em class=""comment_wtime"" data-original-title=""2021-02-25 17:21:00"" data-placement=""auto"" data-toggle=""tooltip"" title="""">2021-02-25</em>",작업공간
"<em id=""comment_writer"">더쓸모협동조합</em>","<p class=""adress"">대구광역시 북구 경대로5길 16</p>","<p class=""tell""><a class=""blocked"" href=""tel:010-9988-5535"">010-9988-5535<span class=""sr-only"">phone number</span></a></p>","<em class=""comment_wtime"" data-original-title=""2021-02-25 11:58:46"" data-placement=""auto"" data-toggle=""tooltip"" title="""">2021-02-25</em>",작업공간
"<em id=""comment_writer"">서울환경연합</em>","<p class=""adress"">서울특별시 성동구 성수이로26길 47</p>","<p class=""tell""><a class=""blocked"" href=""tel:010-2133-7088"">010-2133-7088<span class=""sr-only"">phone number</span></a></p>","<em class=""comment_wtime"" data-original-title=""2021-02-25 09:42:08"" data-placement=""auto"" data-toggle=""tooltip"" title="""">2021-02-25</em>",작업공간
